export_result
"=== DRAMAC CMS DATABASE EXPORT ===
Exported at: 2026-01-24 14:17:09.771383+00

=== EXISTING TABLES ===
activity_log, agencies, agency_members, agency_module_installations, agency_module_subscriptions, ai_module_generated_code, ai_module_messages, ai_module_sessions, ai_module_specs, analytics_event_types, assets, audit_logs, beta_enrollment, blog_categories, blog_post_categories, blog_posts, client_module_installations, client_notifications, client_site_permissions, clients, developer_profiles, domain_dns_records, domain_request_logs, domain_ssl_certificates, featured_modules, form_settings, form_submissions, form_webhooks, invoices, media_folders, media_usage, mod_crmmod01_activities, mod_crmmod01_companies, mod_crmmod01_contacts, mod_crmmod01_custom_fields, mod_crmmod01_deals, mod_crmmod01_pipeline_stages, mod_crmmod01_pipelines, mod_crmmod01_tags, moderation_reports, module_access_logs, module_allowed_domains, module_analytics, module_analytics_daily, module_analytics_events, module_api_consumers, module_api_endpoints, module_api_keys, module_api_logs, module_api_requests, module_api_routes, module_api_webhook_deliveries, module_api_webhooks, module_collection_items, module_collections, module_custom_domains, module_data, module_data_backups, module_database_registry, module_dependencies, module_dependencies_graph, module_deployments, module_embed_tokens, module_error_logs, module_events, module_external_requests, module_external_tokens, module_files, module_graphql_schemas, module_health_checks, module_invitations, module_manifests, module_migration_runs, module_migrations, module_oauth_clients, module_oauth_codes, module_oauth_refresh_tokens, module_permissions, module_rate_limits, module_request_votes, module_requests, module_review_votes, module_reviews, module_roles, module_secrets, module_sessions, module_source, module_stats_daily, module_storage_buckets, module_test_results, module_test_runs, module_usage_events, module_user_roles, module_versions, module_views, module_webhook_deliveries, module_webhook_logs, module_webhooks, modules_v2, notification_preferences, notifications, page_content, pages, profiles, rate_limits, reserved_table_names, review_votes, seo_audits, site_module_installations, site_module_versions, site_seo_settings, sites, subscriptions, support_tickets, templates, test_site_configuration, ticket_messages, user_search_history

=== TABLE ROW COUNTS ===
activity_log: 1
agencies: 1
agency_members: 1
agency_module_installations: 1
agency_module_subscriptions: 1
ai_module_generated_code: 1
ai_module_messages: 1
ai_module_sessions: 1
ai_module_specs: 1
analytics_event_types: 1
assets: 1
audit_logs: 1
beta_enrollment: 1
blog_categories: 1
blog_post_categories: 1
blog_posts: 1
client_module_installations: 1
client_notifications: 1
client_site_permissions: 1
clients: 1
developer_profiles: 1
domain_dns_records: 1
domain_request_logs: 1
domain_ssl_certificates: 1
featured_modules: 1
form_settings: 1
form_submissions: 1
form_webhooks: 1
invoices: 1
media_folders: 1
media_usage: 1
mod_crmmod01_activities: 1
mod_crmmod01_companies: 1
mod_crmmod01_contacts: 1
mod_crmmod01_custom_fields: 1
mod_crmmod01_deals: 1
mod_crmmod01_pipeline_stages: 1
mod_crmmod01_pipelines: 1
mod_crmmod01_tags: 1
moderation_reports: 1
module_access_logs: 1
module_allowed_domains: 1
module_analytics: 1
module_analytics_daily: 1
module_analytics_events: 1
module_api_consumers: 1
module_api_endpoints: 1
module_api_keys: 1
module_api_logs: 1
module_api_requests: 1
module_api_routes: 1
module_api_webhook_deliveries: 1
module_api_webhooks: 1
module_collection_items: 1
module_collections: 1
module_custom_domains: 1
module_data: 1
module_data_backups: 1
module_database_registry: 1
module_dependencies: 1
module_dependencies_graph: 1
module_deployments: 1
module_embed_tokens: 1
module_error_logs: 1
module_events: 1
module_external_requests: 1
module_external_tokens: 1
module_files: 1
module_graphql_schemas: 1
module_health_checks: 1
module_invitations: 1
module_manifests: 1
module_migration_runs: 1
module_migrations: 1
module_oauth_clients: 1
module_oauth_codes: 1
module_oauth_refresh_tokens: 1
module_permissions: 1
module_rate_limits: 1
module_request_votes: 1
module_requests: 1
module_review_votes: 1
module_reviews: 1
module_roles: 1
module_secrets: 1
module_sessions: 1
module_source: 1
module_stats_daily: 1
module_storage_buckets: 1
module_test_results: 1
module_test_runs: 1
module_usage_events: 1
module_user_roles: 1
module_versions: 1
module_views: 1
module_webhook_deliveries: 1
module_webhook_logs: 1
module_webhooks: 1
modules_v2: 1
notification_preferences: 1
notifications: 1
page_content: 1
pages: 1
profiles: 1
rate_limits: 1
reserved_table_names: 1
review_votes: 1
seo_audits: 1
site_module_installations: 1
site_module_versions: 1
site_seo_settings: 1
sites: 1
subscriptions: 1
support_tickets: 1
templates: 1
test_site_configuration: 1
ticket_messages: 1
user_search_history: 1

